Land;RB;Kreis;VB;Gem;Stadt;Plz;Fläche_km;inhabitants_total;inhabitants_f;inhabitants_m;inhabitant_density
16;0;68;5002;14;Gebesee, Stadt;99189;43701,00;2129;1063;1066;88
7;3;36;5008;58;Lauterecken, Stadt;67742;32721,00;2127;1042;1085;239
16;0;75;46;46;Hirschberg, Stadt;7927;24,13;2121;1057;1064;88
16;0;73;106;106;Leutenberg, Stadt;7338;57,52;2115;1053;1062;37
14;5;21;440;440;Oberwiesenthal, Kurort, Stadt;9484;40,02;2108;1030;1078;53
12;0;70;5006;280;Meyenburg, Stadt;16945;50,74;2104;1059;1045;41
14;6;28;5219;210;Königstein/Sächs. Schw., Stadt;1824;43582,00;2092;1058;1034;77
14;5;21;5130;510;Scheibenberg, Stadt;9481;9,00;2091;1045;1046;232
8;1;17;5007;58;Wiesensteig, Stadt;73349;23,41;2053;1049;1004;88
16;0;69;5004;2;Bad Colberg-Heldburg, Stadt;98663;53,39;2045;1052;993;38
12;0;69;5910;448;Niemegk, Stadt;14823;45,12;2043;1047;996;45
16;0;71;5008;53;Magdala, Stadt;99441;20,58;2014;1013;1001;98
16;0;73;5005;28;Gräfenthal, Stadt;98743;36,42;1980;975;1005;54
9;4;76;5433;180;Teuschnitz, St;96356;34,25;1978;965;1013;58
9;6;75;5618;149;Marktsteft, St;97340;18902,00;1969;1025;944;187
9;6;77;177;177;Rieneck, St;97794;26,19;1967;952;1015;75
7;3;36;5008;105;Wolfstein, Stadt;67752;13,75;1960;987;973;143
3;2;57;5407;33;Sachsenhagen, Stadt;31553;15,29;1934;953;981;126
9;4;75;5431;165;Schauenstein, St;95197;26,66;1918;943;975;72
7;3;39;5001;3;Bacharach, Stadt;55422;23,35;1898;951;947;81
16;0;68;5005;29;Kindelbrück, Stadt;99638;13,36;1894;938;956;142
12;0;61;5108;492;Teupitz, Stadt;15755;48,15;1880;977;903;39
16;0;65;5054;81;Wiehe, Stadt;6571;24,53;1871;922;949;76
12;0;73;5303;85;Brüssow, Stadt;17326;101,83;1859;930;929;18
16;0;70;5007;43;Plaue, Stadt;99330;18,19;1834;914;920;101
8;1;27;5004;47;Langenburg, Stadt;74595;31,40;1834;934;900;58
8;1;25;5007;103;Widdern, Stadt;74259;25,23;1833;943;890;73
9;5;74;5527;160;Velden, St;91235;21,34;1814;912;902;85
14;5;22;5129;520;Sayda, Stadt;9619;35,30;1813;903;910;51
13;0;75;5556;107;Penkun, Stadt;17328;78,88;1806;913;893;23
8;4;37;5001;47;Hettingen, Stadt;72513;46,06;1797;907;890;39
13;0;75;5562;137;Usedom, Stadt;17406;38,98;1776;869;907;46
13;0;71;5153;109;Neukalen, Stadt;17154;47,97;1749;867;882;36
13;0;73;5360;7;Bad Sülze, Stadt;18334;26,66;1743;877;866;65
16;0;75;5013;88;Ranis, Stadt;7389;21094,00;1699;814;885;161
9;6;79;5654;182;Röttingen, St;97285;27,21;1688;829;859;62
16;0;73;5001;65;Oberweißbach/Thür. Wald, Stadt;98744;23986,00;1678;780;898;174
9;5;71;5506;189;Ornbau, St;91746;15,16;1669;855;814;110
16;0;73;5005;46;Lehesten, Stadt;7330;35,94;1661;848;813;46
16;0;66;47;47;Oberhof, Stadt;98559;43578,00;1634;800;834;70
12;0;63;5309;260;Rhinow, Stadt;14728;31,66;1605;797;808;51
14;6;28;5221;370;Stadt Wehlen, Stadt;1829;31321,00;1566;798;768;144
