Land;RB;Kreis;VB;Gem;Stadt;Plz;Fläche_km;inhabitants_total;inhabitants_f;inhabitants_m;inhabitant_density
11;0;0;0;0;Berlin, Stadt;10178;891,12;3613495;1776267;1837228;4055
2;0;0;0;0;Hamburg, Freie und Hansestadt;20038;755,09;1830584;897207;933377;2424
9;1;62;0;0;München, Landeshauptstadt;80313;310,71;1456039;708422;747617;4686
5;3;15;0;0;Köln, Stadt;50667;405,01;1080394;526965;553429;2668
6;4;12;0;0;Frankfurt am Main, Stadt;60311;248,31;746878;368721;378157;3008
8;1;11;0;0;Stuttgart, Landeshauptstadt;70173;207,35;632743;316126;316617;3052
5;1;11;0;0;Düsseldorf, Stadt;40213;217,41;617280;298330;318950;2839
5;9;13;0;0;Dortmund, Stadt;44135;280,71;586600;288076;298524;2090
5;1;13;0;0;Essen, Stadt;45127;210,34;583393;283206;300187;2774
14;7;13;0;0;Leipzig, Stadt;4109;297,80;581980;285777;296203;1954
4;0;11;0;0;Bremen, Stadt;28195;317,88;568006;280484;287522;1787
14;6;12;0;0;Dresden, Stadt;1067;328,48;551072;274513;276559;1678
3;2;41;1;1;Hannover, Landeshauptstadt;30159;204,30;535061;261192;273869;2619
9;5;64;0;0;Nürnberg;90403;186,45;515201;250702;264499;2763
5;1;12;0;0;Duisburg, Stadt;47051;232,80;498110;246183;251927;2140
5;9;11;0;0;Bochum, Stadt;44787;145,66;365529;178122;187407;2509
5;1;24;0;0;Wuppertal, Stadt;42275;168,39;353590;173025;180565;2100
5;7;11;0;0;Bielefeld, Stadt;33602;258,82;332552;160267;172285;1285
5;3;14;0;0;Bonn, Stadt;53111;141,06;325490;155605;169885;2307
5;5;15;0;0;Münster, Stadt;48143;303,28;313559;150360;163199;1034
8;2;12;0;0;Karlsruhe, Stadt;76124;173,42;311919;159659;152260;1799
8;2;22;0;0;Mannheim, Universitätsstadt;68159;144,97;307997;153663;154334;2125
9;7;61;0;0;Augsburg;86143;146,87;292851;143867;148984;1994
6;4;14;0;0;Wiesbaden, Landeshauptstadt;65183;203,87;278654;133148;145506;1367
5;1;16;0;0;Mönchengladbach, Stadt;41061;170,47;262188;128925;133263;1538
5;5;13;0;0;Gelsenkirchen, Stadt;45879;104,94;260305;129548;130757;2481
3;1;1;0;0;Braunschweig, Stadt;38100;192,70;248023;122721;125302;1287
1;0;2;0;0;Kiel, Landeshauptstadt;24103;118,65;247943;120809;127134;2090
14;5;11;0;0;Chemnitz, Stadt;9111;221,05;246855;121771;125084;1117
5;3;34;2;2;Aachen, Stadt;52062;160,85;246272;128064;118208;1531
15;0;2;0;0;Halle (Saale), Stadt;6108;135,03;239173;115771;123402;1771
15;0;3;0;0;Magdeburg, Landeshauptstadt;39104;201,01;238478;117677;120801;1186
8;3;11;0;0;Freiburg im Breisgau, Stadt;79098;153,04;229636;109537;120099;1500
5;1;14;0;0;Krefeld, Stadt;47803;137,77;226699;110467;116232;1645
1;0;3;0;0;Lübeck, Hansestadt;23552;214,19;216318;103884;112434;1010
7;3;15;0;0;Mainz, Stadt;55116;97,73;215110;104564;110546;2201
16;0;51;0;0;Erfurt, Stadt;99084;269,91;212988;103683;109305;789
5;1;19;0;0;Oberhausen, Stadt;46045;77,09;211422;103851;107571;2743
13;0;3;0;0;Rostock, Hansestadt;18055;181,36;208409;102700;105709;1149
6;6;11;0;0;Kassel, documenta-Stadt;34117;106,80;200736;98371;102365;1880
5;9;14;0;0;Hagen, Stadt der FernUniversität;58095;160,45;187730;91443;96287;1170
10;0;41;100;100;Saarbrücken, Landeshauptstadt;66111;167,52;180966;89755;91211;1080
5;9;15;0;0;Hamm, Stadt;59065;226,43;179185;88012;91173;791
12;0;54;0;0;Potsdam, Stadt;14469;188,26;175710;85046;90664;933
5;1;17;0;0;Mülheim an der Ruhr, Stadt;45468;91,28;171265;82616;88649;1876
7;3;14;0;0;Ludwigshafen am Rhein, Stadt;67059;77,43;168497;83893;84604;2176
3;4;3;0;0;Oldenburg (Oldenburg), Stadt;26122;103,09;167081;79833;87248;1621
3;4;4;0;0;Osnabrück, Stadt;49074;119,80;164374;79505;84869;1372
5;3;16;0;0;Leverkusen, Stadt;51373;78,87;163577;79675;83902;2074
8;2;21;0;0;Heidelberg, Stadt;69117;108,89;160601;77319;83282;1475
5;1;22;0;0;Solingen, Klingenstadt;42651;89,54;158803;77157;81646;1774
6;4;11;0;0;Darmstadt, Wissenschaftsstadt;64283;122,07;158254;80565;77689;1296
5;9;16;0;0;Herne, Stadt;44623;51,42;156490;76665;79825;3043
5;1;62;24;24;Neuss, Stadt;41460;99,52;153810;74499;79311;1546
9;3;62;0;0;Regensburg;93019;80,85;150894;73121;77773;1866
5;7;74;32;32;Paderborn, Stadt;33098;179,59;149075;74117;74958;830
9;1;61;0;0;Ingolstadt;85047;133,35;135244;68292;66952;1014
6;4;13;0;0;Offenbach am Main, Stadt;63065;44,88;126658;62566;64092;2822
9;6;63;0;0;Würzburg;97067;87,60;126635;60447;66188;1446
9;5;63;0;0;Fürth;90744;63,35;126526;61962;64564;1997
8;4;21;0;0;Ulm, Universitätsstadt;89073;118,68;125596;62321;63275;1058
8;1;21;0;0;Heilbronn, Stadt;74072;99,89;125113;63068;62045;1253
8;2;31;0;0;Pforzheim, Stadt;75175;98,07;124289;61032;63257;1267
3;1;3;0;0;Wolfsburg, Stadt;38440;204,61;123914;61559;62355;606
3;1;59;16;16;Göttingen, Stadt;37083;116,93;119529;58238;61291;1022
5;5;12;0;0;Bottrop, Stadt;46236;100,61;117364;57116;60248;1167
8;4;15;61;61;Reutlingen, Stadt;72764;87,04;115762;57266;58496;1330
7;1;11;0;0;Koblenz, Stadt;56068;105,25;113844;55372;58472;1082
5;5;62;32;32;Recklinghausen, Stadt;45657;66,50;113360;55218;58142;1705
4;0;12;0;0;Bremerhaven, Stadt;27576;101,53;113026;56181;56845;1113
5;3;78;4;4;Bergisch Gladbach, Stadt;51465;83,09;111627;53477;58150;1343
16;0;53;0;0;Jena, Stadt;7743;114,76;111099;55472;55627;968
9;5;62;0;0;Erlangen;91051;76,96;110998;55200;55798;1442
5;1;20;0;0;Remscheid, Stadt;42853;74,52;110584;54482;56102;1484
7;2;11;0;0;Trier, Stadt;54290;117,06;110013;54181;55832;940
3;1;2;0;0;Salzgitter, Stadt;38226;224,49;104548;51990;52558;466
5;1;70;24;24;Moers, Stadt;47441;67,68;103949;50468;53481;1536
5;9;70;40;40;Siegen, Universitätsstadt;57072;114,69;102337;50074;52263;892
3;2;54;21;21;Hildesheim, Stadt;31134;92,29;101744;48413;53331;1102
12;0;52;0;0;Cottbus, Stadt;3046;165,63;101036;49792;51244;610
7;3;12;0;0;Kaiserslautern, Stadt;67657;139,70;99684;50307;49377;714
5;7;54;8;8;Gütersloh, Stadt;33330;112,02;99315;49292;50023;887
5;9;54;36;36;Witten, Stadt;58452;72,40;96565;46972;49593;1334
6;4;35;14;14;Hanau, Brüder-Grimm-Stadt;63450;76,47;96130;47535;48595;1257
13;0;4;0;0;Schwerin, Landeshauptstadt;19053;130,52;95797;46046;49751;734
16;0;52;0;0;Gera, Stadt;7545;152,19;94859;45890;48969;623
8;1;18;48;48;Ludwigsburg, Stadt;71638;43,34;93593;46086;47507;2160
8;1;16;19;19;Esslingen am Neckar, Stadt;73728;46,43;93004;46473;46531;2003
5;9;62;24;24;Iserlohn, Stadt;58636;125,49;92928;45469;47459;741
5;3;58;8;8;Düren, Stadt;52349;85,00;90502;44655;45847;1065
14;5;24;330;330;Zwickau, Stadt;8056;102,58;90192;43959;46233;879
8;4;16;41;41;Tübingen, Universitätsstadt;72070;108,06;89447;42508;46939;828
1;0;1;0;0;Flensburg, Stadt;24937;56,73;88519;44086;44433;1560
6;5;31;5;5;Gießen, Universitätsstadt;35390;72,55;87343;42546;44797;1204
5;1;58;28;28;Ratingen, Stadt;40878;88,74;87226;41789;45437;983
5;9;78;24;24;Lünen, Stadt;44532;59,39;86465;42094;44371;1456
8;3;26;5004;74;Villingen-Schwenningen, Stadt;78050;165,50;84557;41575;42982;511
8;3;35;5004;43;Konstanz, Universitätsstadt;78462;54,11;84441;40614;43827;1561
5;5;62;24;24;Marl, Stadt;45768;87,76;83695;41196;42499;954
7;3;19;0;0;Worms, Stadt;67547;108,73;83081;40870;42211;764
15;0;1;0;0;Dessau-Roßlau, Stadt;6844;244,75;82111;39933;42178;335
5;1;58;32;32;Velbert, Stadt;42551;74,90;82061;40100;41961;1096
5;7;70;24;24;Minden, Stadt;32423;101,12;81698;40119;41579;808
1;0;4;0;0;Neumünster, Stadt;24534;71,66;79335;39190;40145;1107
1;0;60;63;63;Norderstedt, Stadt;22846;58,10;78679;38161;40518;1354
3;4;1;0;0;Delmenhorst, Stadt;27749;62,45;77521;38383;39138;1241
9;4;61;0;0;Bamberg;96031;54,62;77179;37165;40014;1413
5;1;66;32;32;Viersen, Stadt;41747;91,10;76586;37076;39510;841
3;4;5;0;0;Wilhelmshaven, Stadt;26382;107,07;76316;37572;38744;713
6;5;34;14;14;Marburg, Universitätsstadt;35037;123,91;76226;36372;39854;615
5;5;66;76;76;Rheine, Stadt;48431;145,00;76018;37649;38369;524
5;5;62;14;14;Gladbeck, Stadt;45964;35,97;75689;36870;38819;2104
5;5;62;12;12;Dorsten, Stadt;46284;171,20;75252;36551;38701;440
3;3;55;22;22;Lüneburg, Hansestadt;21335;70,50;75192;36224;38968;1067
5;3;82;68;68;Troisdorf, Stadt;53840;62,00;74870;36634;38236;1208
5;7;66;20;20;Detmold, Stadt;32756;129,39;74353;35841;38512;575
9;4;62;0;0;Bayreuth;95410;66,89;73999;36035;37964;1106
5;5;62;4;4;Castrop-Rauxel, Stadt;44575;51,68;73989;36034;37955;1432
5;9;58;4;4;Arnsberg, Stadt;59759;193,72;73814;36310;37504;381
5;9;62;32;32;Lüdenscheid, Stadt;58507;87,02;72894;35798;37096;838
12;0;51;0;0;Brandenburg an der Havel, Stadt;14770;229,72;71886;35522;36364;313
9;2;61;0;0;Landshut;84026;65,83;71193;34617;36576;1081
5;5;54;8;8;Bocholt, Stadt;46395;119,40;71036;34778;36258;595
9;6;61;0;0;Aschaffenburg;63701;62,45;69928;33899;36029;1120
3;3;51;6;6;Celle, Stadt;29221;176,02;69706;33755;35951;396
9;7;63;0;0;Kempten (Allgäu);87435;63,28;68330;33789;34541;1080
6;6;31;9;9;Fulda, Stadt;36037;104,05;67973;33322;34651;653
5;9;74;28;28;Lippstadt, Stadt;59555;113,68;67936;33459;34477;598
8;1;36;5001;88;Aalen, Stadt;73430;146,58;67849;33588;34261;463
5;1;70;8;8;Dinslaken, Stadt;46535;47,66;67489;32627;34862;1416
5;7;58;12;12;Herford, Hansestadt;32052;79,16;66923;32657;34266;845
5;3;62;32;32;Kerpen, Kolpingstadt;50171;113,96;65420;32225;33195;574
14;5;23;320;320;Plauen, Stadt;8523;102,11;65148;31737;33411;638
6;4;33;12;12;Rüsselsheim am Main, Stadt;65428;58,29;64922;32405;32517;1114
7;1;38;45;45;Neuwied, Stadt;56564;86,50;64661;31587;33074;748
8;1;15;45;45;Sindelfingen, Stadt;71063;50,83;64599;32141;32458;1271
16;0;55;0;0;Weimar, Stadt;99423;84,48;64426;31231;33195;763
13;0;71;107;107;Neubrandenburg, Stadt;17033;86,11;64259;31176;33083;746
5;1;62;4;4;Dormagen, Stadt;41539;85,50;64177;31913;32264;751
5;1;62;8;8;Grevenbroich, Stadt;41515;102,41;63204;30569;32635;617
9;1;63;0;0;Rosenheim;83013;37,22;63080;31126;31954;1695
5;5;62;20;20;Herten, Stadt;45699;37,33;61669;30123;31546;1652
5;3;62;8;8;Bergheim, Stadt;50126;96,34;61099;30120;30979;634
8;1;36;5007;65;Schwäbisch Gmünd, Stadt;73525;113,78;60914;29777;31137;535
3;2;41;5;5;Garbsen, Stadt;30823;79,49;60875;29694;31181;766
5;1;70;48;48;Wesel, Stadt;46483;122,56;60496;29359;31137;494
8;4;35;5002;16;Friedrichshafen, Stadt;88045;69,93;60088;29848;30240;859
5;3;62;28;28;Hürth, Stadt;50354;51,22;59762;29236;30526;1167
13;0;73;88;88;Stralsund, Hansestadt;18439;54,14;59517;29223;30294;1099
8;3;17;5010;96;Offenburg, Stadt;77652;78,37;59060;28909;30151;754
13;0;75;39;39;Greifswald, Hansestadt;17489;50,81;58886;28362;30524;1159
5;1;58;20;20;Langenfeld (Rheinland), Stadt;40764;41,15;58698;28500;30198;1426
12;0;53;0;0;Frankfurt (Oder), Stadt;15230;147,85;58237;28167;30070;394
9;7;75;135;135;Neu-Ulm, GKSt;89210;80,95;57727;28429;29298;713
5;3;66;16;16;Euskirchen, Stadt;53879;139,49;57715;28266;29449;414
3;2;52;6;6;Hameln, Stadt;31785;102,53;57228;27277;29951;558
5;9;78;36;36;Unna, Stadt;59423;88,56;57158;27236;29922;645
8;1;17;5005;26;Göppingen, Stadt;73033;59,21;57094;28238;28856;964
5;3;34;32;32;Stolberg (Rhld.), Kupferstadt;52222;98,48;56751;28184;28567;576
14;6;26;110;110;Görlitz, Stadt;2826;67,52;56391;27161;29230;835
5;3;34;12;12;Eschweiler, Stadt;52249;75,75;56207;27521;28686;742
5;3;82;56;56;Sankt Augustin, Stadt;53757;34,22;55873;27304;28569;1633
5;1;58;16;16;Hilden, Stadt;40721;25,95;55817;26846;28971;2151
5;1;62;22;22;Meerbusch, Stadt;40667;64,39;55548;26517;29031;863
8;1;19;79;79;Waiblingen, Stadt;71332;42,75;55123;27123;28000;1289
8;2;11;0;0;Baden-Baden, Stadt;76530;140,19;54718;26266;28452;390
5;9;54;16;16;Hattingen, Stadt;45525;71,67;54628;26498;28130;762
3;4;54;32;32;Lingen (Ems), Stadt;49808;176,19;54117;26806;27311;307
5;3;62;36;36;Pulheim, Stadt;50259;72,15;53900;26016;27884;747
6;4;34;1;1;Bad Homburg v. d. Höhe, Stadt;61348;51,14;53884;25581;28303;1054
5;7;66;8;8;Bad Salzuflen, Stadt;32105;100,05;53856;25924;27932;538
3;2;41;10;10;Langenhagen, Stadt;30853;71,97;53790;26363;27427;747
9;6;62;0;0;Schweinfurt;97420;35,70;53437;26150;27287;1497
7;3;16;0;0;Neustadt an der Weinstraße, Stadt;67433;117,09;53353;25997;27356;456
3;4;56;15;15;Nordhorn, Stadt;48529;149,87;53278;26281;26997;355
5;9;62;40;40;Menden (Sauerland), Stadt;58706;86,10;53046;25979;27067;616
6;5;32;23;23;Wetzlar, Stadt;35578;75,65;52828;25485;27343;698
5;5;70;4;4;Ahlen, Stadt;59227;123,13;52530;25686;26844;427
3;1;58;37;37;Wolfenbüttel, Stadt;38300;78,74;52357;25748;26609;665
5;3;62;24;24;Frechen, Stadt;50226;45,06;52212;25455;26757;1159
5;5;66;28;28;Ibbenbüren, Stadt;49477;108,87;52037;25715;26322;478
9;2;62;0;0;Passau;94030;69,56;51781;24864;26917;744
5;1;54;36;36;Kleve, Stadt;47533;97,76;51320;25372;25948;525
5;1;66;36;36;Willich, Stadt;47877;67,80;51179;25062;26117;755
3;1;53;17;17;Goslar, Stadt;38640;163,88;51128;24925;26203;312
7;3;18;0;0;Speyer, Stadt;67346;42,71;50931;24759;26172;1192
3;4;2;0;0;Emden, Stadt;26721;112,34;50607;25339;25268;450
5;3;74;12;12;Gummersbach, Stadt;51643;95,42;50497;24975;25522;529
7;1;33;6;6;Bad Kreuznach, Stadt;55545;55,56;50484;23976;26508;909
8;4;36;5005;64;Ravensburg, Stadt;88212;92,05;50393;24908;25485;547
8;1;15;3;3;Böblingen, Stadt;71032;39,04;50035;24674;25361;1282
3;1;57;6;6;Peine, Stadt;31224;119,84;49901;24619;25282;416
5;3;62;20;20;Erftstadt, Stadt;50374;119,89;49647;24150;25497;414
1;0;56;15;15;Elmshorn, Stadt;25335;21,36;49618;24351;25267;2323
8;1;35;5002;19;Heidenheim an der Brenz, Stadt;89522;107,09;49297;24564;24733;460
8;3;36;5003;50;Lörrach, Stadt;79539;39,37;49213;23711;25502;1250
8;2;16;5005;43;Rastatt, Stadt;76437;58,98;49100;24319;24781;832
5;9;78;4;4;Bergkamen, Stadt;59192;44,90;48829;24175;24654;1088
5;7;70;4;4;Bad Oeynhausen, Stadt;32545;64,83;48747;23807;24940;752
5;7;54;28;28;Rheda-Wiedenbrück, Stadt;33378;86,72;48685;24481;24204;561
3;3;52;11;11;Cuxhaven, Stadt;27472;161,92;48470;23044;25426;299
7;3;11;0;0;Frankenthal (Pfalz), Stadt;67227;43,88;48417;23382;25035;1103
9;1;78;124;124;Freising, GKSt;85350;88,59;48318;24318;24000;545
8;1;15;28;28;Leonberg, Stadt;71229;48,73;48222;24025;24197;990
5;3;82;12;12;Bornheim, Stadt;53332;82,69;48173;23453;24720;583
8;3;35;5005;75;Singen (Hohentwiel), Stadt;78224;61,77;47716;23165;24551;772
5;5;54;20;20;Gronau (Westf.), Stadt;48599;78,82;47671;23754;23917;605
9;2;63;0;0;Straubing;94303;67,59;47586;23956;23630;704
5;9;74;40;40;Soest, Stadt;59494;85,81;47376;22798;24578;552
3;3;59;38;38;Stade, Hansestadt;21682;110,07;47330;23170;24160;430
5;3;82;20;20;Hennef (Sieg), Stadt;53773;105,89;47293;23095;24198;447
9;1;74;115;115;Dachau, GKSt;85208;34,96;47255;23226;24029;1352
5;3;34;4;4;Alsdorf, Stadt;52477;31,68;46891;23243;23648;1480
10;0;43;114;114;Neunkirchen, Kreisstadt;66538;75,26;46767;23016;23751;621
5;9;78;28;28;Schwerte, Hansestadt an der Ruhr;58239;56,23;46641;22773;23868;829
5;5;58;16;16;Dülmen, Stadt;48249;184,83;46507;22624;23883;252
5;3;34;16;16;Herzogenrath, Stadt;52134;33,38;46462;22515;23947;1392
3;4;59;24;24;Melle, Stadt;49324;253,95;46451;23051;23400;183
7;3;13;0;0;Landau in der Pfalz, Stadt;76829;82,94;46292;21878;24414;558
15;0;91;375;375;Wittenberg, Lutherstadt;6886;240,41;46272;22323;23949;192
8;3;17;5007;65;Lahr/Schwarzwald, Stadt;77933;69,84;46156;23049;23107;661
6;4;34;8;8;Oberursel (Taunus), Stadt;61440;45,34;46069;22339;23730;1016
9;4;64;0;0;Hof;95015;58,02;45950;22055;23895;792
8;1;16;77;77;Filderstadt, Stadt;70794;38,55;45807;22837;22970;1188
8;1;19;20;20;Fellbach, Stadt;70734;27,71;45783;22262;23521;1652
5;7;58;4;4;Bünde, Stadt;32257;59,30;45712;22293;23419;771
16;0;67;29;29;Gotha, Stadt;99867;69,58;45589;22528;23061;655
8;2;26;96;96;Weinheim, Stadt;69469;58,11;45114;22060;23054;776
8;4;17;5001;79;Albstadt, Stadt;72458;134,40;45023;22260;22763;335
6;4;38;11;11;Rodgau, Stadt;63110;65,04;44725;22275;22450;688
8;2;15;5003;9;Bruchsal, Stadt;76646;93,19;44532;22383;22149;478
5;1;58;4;4;Erkrath, Fundort des Neanderthalers, Stadt;40699;26,88;44409;21395;23014;1652
5;3;62;12;12;Brühl, Stadt;50321;36,12;44144;21066;23078;1222
12;0;65;256;256;Oranienburg, Stadt;16515;163,66;43982;21460;22522;269
3;2;41;12;12;Neustadt am Rübenberge, Stadt;31535;358,96;43964;21764;22200;122
3;2;41;11;11;Lehrte, Stadt;31275;127,67;43932;21796;22136;344
8;4;16;5003;36;Rottenburg am Neckar, Stadt;72108;142,26;43615;21668;21947;307
12;0;63;80;80;Falkensee, Stadt;14612;43,26;43552;21394;22158;1007
9;7;62;0;0;Kaufbeuren;87577;40,02;43478;21384;22094;1086
9;7;64;0;0;Memmingen;87688;70,11;43470;21478;21992;620
5;3;70;4;4;Erkelenz, Stadt;41812;117,34;43392;21195;22197;370
5;9;78;20;20;Kamen, Stadt;59174;40,95;43275;21185;22090;1057
8;1;18;5002;79;Bietigheim-Bissingen, Stadt;74321;31,29;43266;21342;21924;1383
5;1;62;16;16;Kaarst, Stadt;41564;37,39;43216;20750;22466;1156
1;0;56;39;39;Pinneberg, Stadt;25421;21,54;43155;21045;22110;2003
13;0;74;87;87;Wismar, Hansestadt;23952;41,72;42906;20972;21934;1028
16;0;56;0;0;Eisenach, Stadt;99817;104,17;42710;21060;21650;410
9;3;63;0;0;Weiden i.d.OPf.;92637;70,57;42543;20506;22037;603
5;5;54;12;12;Borken, Stadt;46325;152,97;42509;20887;21622;278
5;1;66;16;16;Nettetal, Stadt;41334;83,87;42265;20869;21396;504
9;3;61;0;0;Amberg;92211;50,13;42248;20809;21439;843
3;1;51;9;9;Gifhorn, Stadt;38518;105,39;42239;20889;21350;401
16;0;62;41;41;Nordhausen, Stadt;99734;105,61;42014;20596;21418;398
10;0;45;114;114;Homburg, Kreisstadt;66424;82,61;41934;20513;21421;508
3;4;52;1;1;Aurich, Stadt;26603;197,29;41854;20672;21182;212
5;3;70;16;16;Heinsberg, Stadt;52525;92,21;41673;20555;21118;452
9;5;61;0;0;Ansbach;91511;99,91;41652;19930;21722;417
6;4;38;2;2;Dreieich, Stadt;63303;53,27;41548;20358;21190;780
3;2;41;21;21;Wunstorf, Stadt;31515;125,74;41532;20252;21280;330
14;5;22;180;180;Freiberg, Stadt, Universitätsstadt;9599;48,32;41496;20911;20585;859
3;2;41;9;9;Laatzen, Stadt;30880;34,16;41449;20015;21434;1213
5;3;82;60;60;Siegburg, Stadt;53721;23,66;41326;20286;21040;1747
9;4;63;0;0;Coburg;96419;48,29;41236;20065;21171;854
5;3;82;24;24;Königswinter, Stadt;53639;76,17;41050;20005;21045;539
8;1;16;5005;49;Nürtingen, Stadt;72622;46,88;41017;20542;20475;875
15;0;84;550;550;Weißenfels, Stadt;6667;113,56;40874;20751;20123;360
15;0;85;135;135;Halberstadt, Stadt;38820;142,98;40871;20498;20373;286
5;7;66;44;44;Lemgo, Stadt;32657;100,85;40871;20169;20702;405
9;5;65;0;0;Schwabach;91124;40,80;40781;19885;20896;1000
7;3;17;0;0;Pirmasens, Stadt;66953;61,36;40632;19909;20723;662
5;1;58;26;26;Monheim am Rhein, Stadt;40789;43608,00;40598;19527;21071;1761
8;1;16;5001;33;Kirchheim unter Teck, Stadt;73230;40,47;40446;19935;20511;999
6;4;31;2;2;Bensheim, Stadt;64625;57,83;40326;19743;20583;697
9;1;79;123;123;Germering, GKSt;82102;43637,00;40285;19455;20830;1865
12;0;60;52;52;Eberswalde, Stadt;16225;93,64;40223;19820;20403;430
5;7;58;24;24;Löhne, Stadt;32584;59,51;39867;19566;20301;670
8;1;16;78;78;Leinfelden-Echterdingen, Stadt;70771;29,89;39826;19706;20120;1332
15;0;90;535;535;Stendal, Hansestadt;39576;268,02;39822;19496;20326;149
9;3;73;147;147;Neumarkt i.d.OPf., GKSt;92305;79,01;39822;19459;20363;504
8;1;27;5009;76;Schwäbisch Hall, Stadt;74523;104,19;39818;19278;20540;382
3;3;59;10;10;Buxtehude, Hansestadt;21614;76,69;39782;19598;20184;519
6;4;36;7;7;Hofheim am Taunus, Kreisstadt;65719;57,43;39692;19355;20337;691
8;1;19;5003;67;Schorndorf, Stadt;73614;56,83;39601;19470;20131;697
5;3;70;20;20;Hückelhoven, Stadt;41836;61,27;39585;19570;20015;646
14;6;25;20;20;Bautzen, Stadt;2625;66,67;39429;19099;20330;591
10;0;41;519;519;Völklingen, Stadt;66333;67,10;39376;19189;20187;587
8;2;15;17;17;Ettlingen, Stadt;76275;56,75;39315;19198;20117;693
14;6;28;110;110;Freital, Stadt;1705;40,45;39300;19105;20195;972
8;1;16;80;80;Ostfildern, Stadt;73760;22,81;39205;19420;19785;1719
5;5;54;4;4;Ahaus, Stadt;48683;151,24;39185;19572;19613;259
15;0;82;15;15;Bitterfeld-Wolfen, Stadt;6766;86,96;39103;18933;20170;450
3;3;53;5;5;Buchholz in der Nordheide, Stadt;21244;74,76;39042;18722;20320;522
5;3;34;36;36;Würselen, Stadt;52146;34,39;38934;19090;19844;1132
6;4;35;19;19;Maintal, Stadt;63477;32,41;38930;19186;19744;1201
5;1;58;24;24;Mettmann, Stadt;40822;42,56;38789;18642;20147;911
14;6;28;5229;270;Pirna, Stadt;1796;53,06;38276;18713;19563;721
12;0;60;20;20;Bernau bei Berlin, Stadt;16321;104,17;38194;18623;19571;367
5;3;82;44;44;Niederkassel, Stadt;53859;35,79;38057;18761;19296;1063
5;5;62;16;16;Haltern am See, Stadt;45721;159,03;37977;18491;19486;239
6;4;38;6;6;Langen (Hessen), Stadt;63225;43828,00;37527;18435;19092;1289
6;4;38;9;9;Neu-Isenburg, Stadt;63263;24,29;37512;18466;19046;1544
5;5;66;12;12;Greven, Stadt;48268;140,26;37502;18499;19003;267
5;1;70;20;20;Kamp-Lintfort, Stadt;47475;63,14;37346;18347;18999;591
5;5;70;52;52;Warendorf, Stadt;48231;176,88;37242;18168;19074;211
9;1;79;121;121;Fürstenfeldbruck, GKSt;82245;32,53;37202;18225;18977;1144
3;4;54;41;41;Papenburg, Stadt;26871;118,44;37030;18898;18132;313
8;1;19;5001;8;Backnang, Stadt;71522;39,38;36893;18347;18546;937
12;0;61;260;260;Königs Wusterhausen, Stadt;15711;96,04;36706;18007;18699;382
5;5;70;8;8;Beckum, Stadt;59269;111,46;36689;18142;18547;329
9;1;77;117;117;Erding, GKSt;85421;54,61;36382;17631;18751;666
5;5;58;12;12;Coesfeld, Stadt;48653;141,36;36302;17901;18401;257
5;1;70;44;44;Voerde (Niederrhein), Stadt;46562;53,49;36268;17712;18556;678
5;5;66;8;8;Emsdetten, Stadt;48282;72,06;36151;17943;18208;502
5;3;62;40;40;Wesseling, Stadt;50389;23,37;35955;17865;18090;1539
10;0;45;117;117;St. Ingbert, Stadt;66386;49,95;35951;17230;18721;720
8;3;17;57;57;Kehl, Stadt;77694;75,07;35695;17692;18003;475
5;7;70;32;32;Porta Westfalica, Stadt;32457;105,22;35660;17677;17983;339
8;3;27;5006;50;Tuttlingen, Stadt;78532;90,45;35456;17723;17733;392
8;2;26;5008;85;Sinsheim, Stadt;74889;126,99;35439;17732;17707;279
3;4;54;35;35;Meppen, Stadt;49716;188,40;35267;17379;17888;187
16;0;54;0;0;Suhl, Stadt;98527;103,03;35166;17131;18035;341
5;7;66;40;40;Lage, Stadt;32791;76,04;35166;17335;17831;462
6;5;33;9;9;Limburg a.d. Lahn, Kreisstadt;65549;45,16;34989;17252;17737;775
5;1;66;12;12;Kempen, Stadt;47906;68,80;34711;16868;17843;505
5;3;78;32;32;Wermelskirchen, Stadt;42929;74,80;34705;16957;17748;464
3;3;53;40;40;Winsen (Luhe), Stadt;21423;109,77;34635;16975;17660;316
3;4;53;4;4;Cloppenburg, Stadt;49661;70,86;34581;17065;17516;488
5;5;62;8;8;Datteln, Stadt;45711;66,10;34563;16927;17636;523
10;0;44;115;115;Saarlouis, Kreisstadt;66740;43,30;34532;16746;17786;798
6;4;33;8;8;Mörfelden-Walldorf, Stadt;64546;44,13;34315;17297;17018;778
7;3;20;0;0;Zweibrücken, Stadt;66482;70,64;34270;16936;17334;485
3;4;57;13;13;Leer (Ostfriesland), Stadt;26789;70,11;34226;17175;17051;488
15;0;88;220;220;Merseburg, Stadt;6217;53,76;34197;16733;17464;636
8;1;27;5002;14;Crailsheim, Stadt;74564;109,08;34130;17198;16932;313
8;4;17;5002;2;Balingen, Stadt;72336;90,32;34062;16581;17481;377
6;4;38;1;1;Dietzenbach, Kreisstadt;63128;21,68;34055;17008;17047;1571
3;2;41;15;15;Seelze, Stadt;30926;54,08;34036;16871;17165;629
5;9;62;16;16;Hemer, Stadt;58675;67,66;34016;16744;17272;503
6;4;31;20;20;Viernheim, Stadt;68519;48,41;33989;16624;17365;702
3;2;41;2;2;Barsinghausen, Stadt;30890;102,81;33989;16763;17226;331
14;6;27;210;210;Radebeul, Stadt;1445;26,14;33954;16449;17505;1299
